item_id,scenario,strategy,prompt_text,label_coercion,label_leading,label_rapport,notes
1,shoplifting,pressure,[shoplifting] Stop avoiding the question and answer directly.,2,1,0,auto-generated starter set
2,shoplifting,pressure,"[shoplifting] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
3,shoplifting,rapport,[shoplifting] Can you walk me through what happened from the beginning?,0,0,1,auto-generated starter set
4,shoplifting,neutral,[shoplifting] Who else was present?,0,0,0,auto-generated starter set
5,shoplifting,rapport,[shoplifting] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
6,shoplifting,pressure,"[shoplifting] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
7,shoplifting,pressure,"[shoplifting] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
8,shoplifting,rapport,[shoplifting] Help me understand your perspective—what was going on for you?,0,0,1,auto-generated starter set
9,shoplifting,rapport,[shoplifting] What would you like me to know that I haven’t asked yet?,0,0,1,auto-generated starter set
10,shoplifting,pressure,[shoplifting] Your story doesn’t match the evidence. What are you hiding?,2,1,0,auto-generated starter set
11,assault,pressure,[assault] Your story doesn’t match the evidence. What are you hiding?,2,1,0,auto-generated starter set
12,assault,pressure,"[assault] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
13,assault,pressure,[assault] This is your chance to explain yourself before it gets worse.,2,1,0,auto-generated starter set
14,assault,rapport,[assault] What would you like me to know that I haven’t asked yet?,0,0,1,auto-generated starter set
15,assault,rapport,[assault] What would you like me to know that I haven’t asked yet?,0,0,1,auto-generated starter set
16,assault,rapport,[assault] What happened just before that?,0,0,1,auto-generated starter set
17,assault,rapport,[assault] Can you walk me through what happened from the beginning?,0,0,1,auto-generated starter set
18,assault,pressure,[assault] Your story doesn’t match the evidence. What are you hiding?,2,1,0,auto-generated starter set
19,assault,neutral,[assault] What did you see or hear?,0,0,0,auto-generated starter set
20,assault,pressure,[assault] Stop avoiding the question and answer directly.,2,1,0,auto-generated starter set
21,fraud,pressure,[fraud] This is your chance to explain yourself before it gets worse.,2,1,0,auto-generated starter set
22,fraud,rapport,[fraud] Help me understand your perspective—what was going on for you?,0,0,1,auto-generated starter set
23,fraud,rapport,[fraud] What would you like me to know that I haven’t asked yet?,0,0,1,auto-generated starter set
24,fraud,rapport,[fraud] What happened just before that?,0,0,1,auto-generated starter set
25,fraud,rapport,[fraud] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
26,fraud,neutral,[fraud] Where were you at that time?,0,0,0,auto-generated starter set
27,fraud,rapport,[fraud] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
28,fraud,neutral,[fraud] Who else was present?,0,0,0,auto-generated starter set
29,fraud,pressure,"[fraud] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
30,fraud,pressure,"[fraud] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
31,burglary,pressure,[burglary] Your story doesn’t match the evidence. What are you hiding?,2,1,0,auto-generated starter set
32,burglary,pressure,[burglary] We already know what happened. Why are you not telling the truth?,2,1,0,auto-generated starter set
33,burglary,pressure,[burglary] Stop avoiding the question and answer directly.,2,1,0,auto-generated starter set
34,burglary,rapport,[burglary] What would you like me to know that I haven’t asked yet?,0,0,1,auto-generated starter set
35,burglary,pressure,[burglary] We already know what happened. Why are you not telling the truth?,2,1,0,auto-generated starter set
36,burglary,rapport,[burglary] Can you walk me through what happened from the beginning?,0,0,1,auto-generated starter set
37,burglary,rapport,[burglary] Help me understand your perspective—what was going on for you?,0,0,1,auto-generated starter set
38,burglary,neutral,[burglary] Where were you at that time?,0,0,0,auto-generated starter set
39,burglary,rapport,[burglary] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
40,burglary,pressure,"[burglary] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
41,vandalism,pressure,[vandalism] Your story doesn’t match the evidence. What are you hiding?,2,1,0,auto-generated starter set
42,vandalism,pressure,[vandalism] Stop avoiding the question and answer directly.,2,1,0,auto-generated starter set
43,vandalism,rapport,[vandalism] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
44,vandalism,rapport,[vandalism] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
45,vandalism,pressure,"[vandalism] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
46,vandalism,neutral,[vandalism] Where were you at that time?,0,0,0,auto-generated starter set
47,vandalism,rapport,[vandalism] Can you walk me through what happened from the beginning?,0,0,1,auto-generated starter set
48,vandalism,rapport,[vandalism] What happened just before that?,0,0,1,auto-generated starter set
49,vandalism,neutral,[vandalism] Where were you at that time?,0,0,0,auto-generated starter set
50,vandalism,rapport,[vandalism] What happened just before that?,0,0,1,auto-generated starter set
51,missing_person,neutral,[missing_person] What did you do next?,0,0,0,auto-generated starter set
52,missing_person,neutral,[missing_person] What did you see or hear?,0,0,0,auto-generated starter set
53,missing_person,pressure,[missing_person] This is your chance to explain yourself before it gets worse.,2,1,0,auto-generated starter set
54,missing_person,rapport,[missing_person] Can you walk me through what happened from the beginning?,0,0,1,auto-generated starter set
55,missing_person,neutral,[missing_person] Who else was present?,0,0,0,auto-generated starter set
56,missing_person,rapport,[missing_person] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
57,missing_person,neutral,[missing_person] What did you see or hear?,0,0,0,auto-generated starter set
58,missing_person,pressure,[missing_person] Stop avoiding the question and answer directly.,2,1,0,auto-generated starter set
59,missing_person,rapport,[missing_person] What would you like me to know that I haven’t asked yet?,0,0,1,auto-generated starter set
60,missing_person,rapport,[missing_person] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
61,drug_sale,rapport,[drug_sale] What would you like me to know that I haven’t asked yet?,0,0,1,auto-generated starter set
62,drug_sale,pressure,"[drug_sale] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
63,drug_sale,pressure,[drug_sale] Your story doesn’t match the evidence. What are you hiding?,2,1,0,auto-generated starter set
64,drug_sale,pressure,[drug_sale] This is your chance to explain yourself before it gets worse.,2,1,0,auto-generated starter set
65,drug_sale,rapport,[drug_sale] What happened just before that?,0,0,1,auto-generated starter set
66,drug_sale,rapport,[drug_sale] Help me understand your perspective—what was going on for you?,0,0,1,auto-generated starter set
67,drug_sale,rapport,[drug_sale] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
68,drug_sale,pressure,"[drug_sale] If you cooperate now, it will go better for you.",2,1,0,auto-generated starter set
69,drug_sale,pressure,[drug_sale] We already know what happened. Why are you not telling the truth?,2,1,0,auto-generated starter set
70,drug_sale,neutral,[drug_sale] What did you do next?,0,0,0,auto-generated starter set
71,workplace_theft,rapport,[workplace_theft] Can you walk me through what happened from the beginning?,0,0,1,auto-generated starter set
72,workplace_theft,pressure,[workplace_theft] Your story doesn’t match the evidence. What are you hiding?,2,1,0,auto-generated starter set
73,workplace_theft,rapport,[workplace_theft] What would you like me to know that I haven’t asked yet?,0,0,1,auto-generated starter set
74,workplace_theft,pressure,[workplace_theft] Your story doesn’t match the evidence. What are you hiding?,2,1,0,auto-generated starter set
75,workplace_theft,neutral,[workplace_theft] What did you see or hear?,0,0,0,auto-generated starter set
76,workplace_theft,neutral,[workplace_theft] Where were you at that time?,0,0,0,auto-generated starter set
77,workplace_theft,rapport,[workplace_theft] Take your time. What do you remember about that moment?,0,0,1,auto-generated starter set
78,workplace_theft,neutral,[workplace_theft] What time did it happen?,0,0,0,auto-generated starter set
79,workplace_theft,rapport,[workplace_theft] What would you like me to know that I haven’t asked yet?,0,0,1,auto-generated starter set
80,workplace_theft,neutral,[workplace_theft] What did you do next?,0,0,0,auto-generated starter set
